C_Name,T_Name,TOWN_ID,nfullname,web
桃園市,觀音區,6801200,桃園市觀音區,0.738
臺南市,南區,6703300,臺南市南區,0.757
臺中市,大雅區,6601800,臺中市大雅區,0.667
苗栗縣,頭份鎮,1000505,苗栗縣頭份鎮,0.741
桃園市,大溪區,6800300,桃園市大溪區,0.795
臺南市,北區,6703400,臺南市北區,0.782
基隆市,七堵區,1001702,基隆市七堵區,0.746
臺中市,神岡區,6601600,臺中市神岡區,0.651
臺中市,南區,6600300,臺中市南區,0.784
高雄市,岡山區,6401900,高雄市岡山區,0.811
新北市,泰山區,6501600,新北市泰山區,0.825
新竹縣,竹東鎮,1000402,新竹縣竹東鎮,0.765
高雄市,新興區,6400600,高雄市新興區,0.803
嘉義市,東區,1002001,嘉義市東區,0.896
臺中市,潭子區,6601700,臺中市潭子區,0.705
宜蘭縣,宜蘭市,1000201,宜蘭縣宜蘭市,0.929
雲林縣,斗六市,1000901,雲林縣斗六市,0.814
臺南市,仁德區,6702700,臺南市仁德區,0.724
苗栗縣,竹南鎮,1000504,苗栗縣竹南鎮,0.735
